fips,id,county,state
1001,0,Autauga,AL
1003,1842,Baldwin,AL
1005,1931,Barbour,AL
1007,675,Bibb,AL
1009,1,Blount,AL
1011,676,Bullock,AL
1013,1932,Butler,AL
1015,677,Calhoun,AL
1017,2,Chambers,AL
1019,1933,Cherokee,AL
1021,3,Chilton,AL
1023,648,Choctaw,AL
1025,649,Clarke,AL
1027,1843,Clay,AL
1029,650,Cleburne,AL
1031,651,Coffee,AL
1033,4,Colbert,AL
1035,2028,Conecuh,AL
1037,652,Coosa,AL
1039,2029,Covington,AL
1041,1844,Crenshaw,AL
1043,3012,Cullman,AL
1045,5,Dale,AL
1047,653,Dallas,AL
1049,2030,DeKalb,AL
1051,6,Elmore,AL
1053,2031,Escambia,AL
1055,654,Etowah,AL
1057,1845,Fayette,AL
1059,655,Franklin,AL
1061,656,Geneva,AL
1063,2032,Greene,AL
1065,7,Hale,AL
1067,657,Henry,AL
1069,2033,Houston,AL
1071,658,Jackson,AL
1073,1846,Jefferson,AL
1075,2034,Lamar,AL
1077,2035,Lauderdale,AL
1079,8,Lawrence,AL
1081,659,Lee,AL
1083,9,Limestone,AL
1085,660,Lowndes,AL
1087,661,Macon,AL
1089,662,Madison,AL
1091,1847,Marengo,AL
1093,667,Marion,AL
1095,668,Marshall,AL
1097,669,Mobile,AL
1099,10,Monroe,AL
1101,670,Montgomery,AL
1103,1848,Morgan,AL
1105,2177,Perry,AL
1107,11,Pickens,AL
1109,3013,Pike,AL
1111,2178,Randolph,AL
1113,2179,Russell,AL
1115,1849,St. Clair,AL
1117,671,Shelby,AL
1119,672,Sumter,AL
1121,12,Talladega,AL
1123,2180,Tallapoosa,AL
1125,673,Tuscaloosa,AL
1127,2342,Walker,AL
1129,1850,Washington,AL
1131,674,Wilcox,AL
1133,2343,Winston,AL
2013,3128,Aleutians East,AK
2016,3134,Aleutians West,AK
2020,3126,Anchorage,AK
2050,3109,Bethel,AK
2060,3135,Bristol Bay,AK
2068,3127,Denali,AK
2070,3119,Dillingham,AK
2090,3131,Fairbanks North Star,AK
2100,3132,Haines,AK
2105,3110,Hoonah-Angoon,AK
2110,3120,Juneau,AK
2122,3111,Kenai Peninsula,AK
2130,3121,Ketchikan Gateway,AK
2150,3112,Kodiak Island,AK
2164,3113,Lake and Peninsula,AK
2170,3133,Matanuska-Susitna,AK
2180,3114,Nome,AK
2185,3122,North Slope,AK
2188,3115,Northwest Arctic,AK
2195,3123,Petersburg,AK
2198,3116,Prince of Wales-Hyder,AK
2220,3124,Sitka,AK
2230,3125,Skagway,AK
2240,3130,Southeast Fairbanks,AK
2261,3117,Valdez-Cordova,AK
2270,3118,Wade Hampton,AK
2275,3129,Wrangell,AK
2282,3137,Yakutat,AK
2290,3136,Yukon-Koyukuk,AK
4001,2039,Apache,AZ
4003,65,Cochise,AZ
4005,821,Coconino,AZ
4007,2040,Gila,AZ
4009,822,Graham,AZ
4011,823,Greenlee,AZ
4012,824,La Paz,AZ
4013,66,Maricopa,AZ
4015,2493,Mohave,AZ
4017,825,Navajo,AZ
4019,2041,Pima,AZ
4021,826,Pinal,AZ
4023,827,Santa Cruz,AZ
